Year,Acres,Latitude,Longitude
2017,2,34.0869728,-87.31715505
2017,1,31.36448619,-90.84832515
2017,2,33.44902775,-89.09426146
2017,1,34.32560092,-87.21792801
2017,2,31.10195931,-90.84044681
2017,1,32.92525799,-87.49037207
2017,1,33.32691843,-83.50179815
2017,1,32.22700509,-89.59526352
2017,1,31.27937299,-91.02384398
2017,1,33.35001216,-83.5064718
2017,1,33.34368697,-83.44533377
2017,1,32.36943853,-89.65699758
2017,1,33.30910756,-83.54176847
2017,2,32.70939448,-87.03185156
2017,1,32.26093785,-89.33056485
2017,1,33.76953791,-83.27973047
2017,2,34.36682902,-87.28778338
2017,1,32.90870232,-86.99053473
2017,1,34.31130882,-87.14778324
2017,1,34.28323019,-87.32632046
2017,1,32.31822558,-89.8868447
2017,2,32.9837685,-87.34291712
2017,1,32.40330348,-89.48165484
2017,2,33.14290351,-83.54044814
2017,2,33.37171402,-83.50679786
2017,2,32.27636418,-89.58388428
2017,1,32.86374187,-87.31673687
2017,1,32.43420504,-89.52512952
2017,1,32.35328106,-89.56946452
2017,2,33.18438456,-83.49867276
2017,2,34.24798894,-87.4404133
2017,1,32.40207805,-89.60114751
2017,1,33.31606474,-83.49659747
2017,1,31.55733607,-90.59638355
2017,2,33.26930623,-83.49452448
2017,2,33.92785919,-88.88137836
2017,1,34.35719802,-87.38587535
2017,1,33.35277245,-83.51912444
2017,1,32.90925053,-87.33866186
2017,1,33.8996492,-88.94373712
2017,2,32.35161481,-89.5641975
2017,1,32.23397482,-89.6215711
2017,2,33.22125738,-83.46526718
2017,2,33.18292273,-83.52760225
2017,2,32.95039903,-87.45224674
2017,1,32.33842806,-89.46301955
2017,1,32.40206405,-89.52393853
2017,1,34.39431733,-87.27614962
2017,1,32.38438705,-89.57834651
2017,1,32.89435278,-87.3356247
2017,1,33.37628254,-83.51855138
2017,1,33.45770951,-89.1253678
2017,1,32.1348381,-89.57376353
2017,1,31.12067719,-91.30431492
2017,1,33.19803412,-83.64017496
2017,1,33.23768576,-83.45629354
2017,1,33.29947528,-83.74089462
2017,2,32.9460809,-87.45557023
2017,1,32.38126609,-89.53116631
2017,1,33.08274344,-83.64942219
2017,1,33.31348338,-83.51685251
2017,2,34.31062764,-87.24485312
2017,1,32.84838286,-87.07913886
2017,2,34.36316682,-87.19017609
2017,1,31.32554201,-90.82765507
2017,1,32.38309506,-89.67493649
2017,1,34.25331275,-87.2855854
2017,1,32.58829541,-89.5774724
2017,1,32.80449045,-87.17010684
2017,1,33.9788109,-88.96417724
2017,1,32.05789112,-89.62429052
2017,1,32.24023207,-89.31538459
2017,2,32.37359437,-89.57961619
2017,2,33.19364069,-83.48296782
2017,2,33.19597093,-83.48508793
2017,2,32.23458128,-89.59567813
2017,1,33.30451876,-83.44864722
2017,2,32.77915006,-86.95282745
2017,1,32.38635405,-89.6336285
2017,1,33.5905277,-83.3214642
2017,2,34.29349253,-87.29536712
2017,1,33.02218359,-87.4694702
2017,1,32.38642305,-89.64190749
2017,1,32.15920109,-89.24694962
2017,1,33.93905014,-88.9241412
2017,1,34.12855727,-87.23751217
2017,1,32.67859385,-86.99748399
2017,1,33.92621731,-88.91242851
2017,1,32.26082271,-89.37585387
2017,1,33.36478696,-83.42809603
2017,2,33.28527585,-83.51686006
2017,2,32.27629481,-89.58631873
2017,2,32.89090401,-87.02234159
2017,1,32.37174805,-89.54997252
2017,1,33.349099,-83.46679478
2017,1,32.08587612,-89.60173452
2017,2,34.1395775,-87.21298416
2017,1,32.43084604,-89.6053095
2017,2,32.91531606,-87.05754192
2017,2,33.27022778,-83.49619703
2017,1,31.26075832,-91.23599318
2017,1,33.29715998,-83.46169923
2017,1,34.20655933,-87.29235084
2017,1,33.18852163,-83.73041914
2017,1,32.92652677,-87.33069589
2017,1,33.86273253,-88.90182507
