"","Longitude","Latitude","Year","JANMAXTEMP","FEBMAXTEMP","MARMAXTEMP","Prcp","AUGMAXTEMP","JANMINTEMP","FEBMINTEMP","MARMINTEMP","RISK","Acres","PRESENT","X.4","X.3","X.2","X.1","X","FOREST"
"1",-91.93367663,31.79516431,2017,18.10114861,22.12859535,23.3544426,1583.316308,33.01613998,6.961194515,9.208342552,10.70706558,0,1,1,1,1,1,1,1903,0.784682810306549
"2",-91.30833,31.21769,2018,12.37905,21.507,22.61284,2072.579,31.34066,0.3408034,10.55816,9.806245,0,2.85,1,2,2,2,2,16566,0.764634609222412
"3",-91.30431492,31.12067719,2017,18.86865425,22.47635841,23.64989853,2200.080406,32.56280899,7.966335297,10.18831825,11.89692593,0,1,1,3,3,3,3,1870,0.787760615348816
"4",-91.30181,31.28652,2018,12.3215,21.37284,22.60526,1968.787,31.35658,0.2105489,10.3011,9.819933,1,7.12,1,4,4,4,4,16854,0.764634609222412
"5",-91.30169,31.28867,2018,12.3215,21.37284,22.60526,1968.787,31.35658,0.2105489,10.3011,9.819933,1,7.12,1,5,5,5,5,16858,0.764634609222412
"6",-91.29929,31.28641,2018,12.3217,21.39754,22.54616,1977.245,31.33664,0.2103209,10.34274,9.737215,1,7.12,1,6,6,6,6,16853,0.764634609222412
"7",-91.2992667,31.30451583,2017,18.5988102,22.38109779,23.4897747,2079.242717,32.48425293,7.744178295,9.801476479,11.53408718,0,1,1,7,7,7,7,1883,0.764634609222412
"8",-91.29904,31.18165,2018,12.44927,21.57143,22.69561,2105.967,31.39943,0.4347822,10.62073,9.908552,1,28.47,1,8,8,8,8,16989,0.787760615348816
"9",-91.29879,31.18596,2018,12.44927,21.57143,22.69561,2105.967,31.39943,0.4347822,10.62073,9.908552,1,28.47,1,9,9,9,9,16991,0.787760615348816
"10",-91.29854,31.19027,2018,12.44927,21.57143,22.69561,2105.967,31.39943,0.4347822,10.62073,9.908552,1,28.47,1,10,10,10,10,16993,0.787760615348816
"11",-91.29434,31.11551,2018,12.43466,21.59826,22.61671,2237.256,31.22568,0.5271546,10.78925,9.777734,0,0.1,1,11,11,11,11,12251,0.787760615348816
"12",-91.29374,31.18575,2018,12.44927,21.57143,22.69561,2105.967,31.39943,0.4347822,10.62073,9.908552,1,28.47,1,12,12,12,12,16990,0.787760615348816
"13",-91.29352,31.12608,2018,12.44385,21.55835,22.63624,2178.565,31.29808,0.4773472,10.78937,9.813437,0,0.25,1,13,13,13,13,14096,0.787760615348816
"14",-91.29349,31.19006,2018,12.44927,21.57143,22.69561,2105.967,31.39943,0.4347822,10.62073,9.908552,1,28.47,1,14,14,14,14,16992,0.787760615348816
"15",-91.29318,30.88078,2018,12.9068,22.06474,22.87748,2231.85,31.45455,1.054112,11.44418,10.29141,0,0.1,1,15,15,15,15,12241,0.610100626945496
"16",-91.28852,31.25171,2018,12.38143,21.46928,22.59689,2017.266,31.35652,0.2589023,10.46894,9.813244,0,0.1,1,16,16,16,16,12262,0.764634609222412
"17",-91.28386876,31.14711788,2017,18.8426075,22.46840668,23.60061264,2185.287252,32.537117,7.967264175,10.12639618,11.87312603,0,1,1,17,17,17,17,1871,0.787760615348816
"18",-91.2833,31.09003,2018,12.49407,21.71357,22.6712,2402.153,31.29822,0.6156842,10.84935,9.84826,0,0.1,1,18,18,18,18,12250,0.650001883506775
"19",-91.2816,31.28492,2018,12.31068,21.42008,22.50977,1997.204,31.27172,0.1794459,10.35848,9.623223,0,0.25,1,19,19,19,19,14110,0.764634609222412
"20",-91.28077,31.2513,2018,12.36314,21.49095,22.57937,2022.346,31.35125,0.2756028,10.49562,9.781116,0,0.25,1,20,20,20,20,14104,0.764634609222412
"21",-91.27199,31.23343,2018,12.42,21.55924,22.61725,2025.44,31.36508,0.2973101,10.5771,9.855122,1,5.69,1,21,21,21,21,16772,0.764634609222412
"22",-91.27191,31.1697,2018,12.43914,21.55398,22.66129,2141.298,31.30882,0.4676455,10.69212,9.78335,1,113.87,1,22,22,22,22,17049,0.787760615348816
"23",-91.26504,31.17913,2018,12.44136,21.55367,22.66129,2114.647,31.31983,0.4532383,10.66228,9.805449,1,5.69,1,23,23,23,23,16771,0.787760615348816
"24",-91.26284,31.29986,2018,12.2657,21.35487,22.4976,1990.31,31.194,0.1342754,10.28736,9.558534,0,0.1,1,24,24,24,24,12320,0.800824880599976
"25",-91.2626,31.29491,2018,12.2657,21.35487,22.4976,1990.31,31.194,0.1342754,10.28736,9.558534,0,0.75,1,25,25,25,25,15810,0.800824880599976
"26",-91.2623422,31.29798814,2016,14.61335468,18.76797867,22.75645828,1977.854123,33.74725342,2.323446751,5.162975311,11.37972164,0,0.63,1,26,26,26,26,1179,0.800824880599976
"27",-91.261714,31.31657434,2016,14.6255722,18.82101822,22.85191536,1967.956717,33.76553345,2.389830351,5.201832294,11.36531258,0,1.73,1,27,27,27,27,1483,0.676496565341949
"28",-91.26153,30.87808,2018,12.93651,22.10899,22.92744,2215.881,31.49873,1.185858,11.53583,10.42463,0,0.1,1,28,28,28,28,12240,0.629928529262543
"29",-91.26153,31.29648,2018,12.2657,21.35487,22.4976,1990.31,31.194,0.1342754,10.28736,9.558534,1,10,1,29,29,29,29,16927,0.800824880599976
"30",-91.26138,31.28963,2018,12.2657,21.35487,22.4976,1990.31,31.194,0.1342754,10.28736,9.558534,1,7.49,1,30,30,30,30,16902,0.800824880599976
"31",-91.26083529,31.16983789,2017,18.83931541,22.49300385,23.6131382,2174.96154,32.55393982,7.957070827,10.14213467,11.8259058,0,1,1,31,31,31,31,1874,0.787760615348816
"32",-91.26023,31.27835,2018,12.29804,21.42628,22.51408,2003.477,31.23016,0.1830863,10.37987,9.608849,0,1.06,1,32,32,32,32,16147,0.800824880599976
"33",-91.26003,30.87708,2018,12.93651,22.10899,22.92744,2215.881,31.49873,1.185858,11.53583,10.42463,0,0.25,1,33,33,33,33,14092,0.629928529262543
"34",-91.25969,31.31317,2018,12.2992,21.35982,22.52073,1951.146,31.26967,0.1498992,10.30882,9.62679,0,1,1,34,34,34,34,16006,0.676496565341949
"35",-91.2596501,31.29521874,2016,14.61335468,18.76797867,22.75645828,1977.854123,33.74725342,2.323446751,5.162975311,11.37972164,0,0.25,1,35,35,35,35,872,0.800824880599976
"36",-91.25942,31.29039,2018,12.2657,21.35487,22.4976,1990.31,31.194,0.1342754,10.28736,9.558534,0,0.9,1,36,36,36,36,15913,0.800824880599976
"37",-91.2594143,31.29598724,2016,14.61335468,18.76797867,22.75645828,1977.854123,33.74725342,2.323446751,5.162975311,11.37972164,0,0.9,1,37,37,37,37,1236,0.800824880599976
"38",-91.25905,31.3164,2018,12.2992,21.35982,22.52073,1951.146,31.26967,0.1498992,10.30882,9.62679,0,0.2,1,38,38,38,38,13884,0.676496565341949
"39",-91.2590002,31.31430474,2016,14.6255722,18.82101822,22.85191536,1967.956717,33.76553345,2.389830351,5.201832294,11.36531258,0,0.47,1,39,39,39,39,1057,0.676496565341949
"40",-91.25899,31.28255,2018,12.29804,21.42628,22.51408,2003.477,31.23016,0.1830863,10.37987,9.608849,1,7.12,1,40,40,40,40,16851,0.800824880599976
"41",-91.25866,31.29149,2018,12.33688,21.43995,22.52421,1985.398,31.28447,0.206218,10.35873,9.644966,0,0.7,1,41,41,41,41,15753,0.800824880599976
"42",-91.258314,31.31462434,2016,14.65209293,18.83234215,22.87587357,1963.561323,33.78137207,2.396633863,5.213881969,11.38841248,0,0.82,1,42,42,42,42,1228,0.676496565341949
"43",-91.257994,31.29409434,2016,14.66588402,18.86328125,22.87373352,1958.989491,33.74705124,2.412958384,5.225908279,11.41325855,0,1.5,1,43,43,43,43,1452,0.800824880599976
"44",-91.25799341,31.29404054,2016,14.66588402,18.86328125,22.87373352,1958.989491,33.74705124,2.412958384,5.225908279,11.41325855,0,0.82,1,44,44,44,44,1227,0.800824880599976
"45",-91.25794,31.30236,2018,12.33688,21.43995,22.52421,1985.398,31.28447,0.206218,10.35873,9.644966,0,3.69,1,45,45,45,45,16660,0.800824880599976
"46",-91.25784,31.31659,2018,12.32761,21.40986,22.52155,1953.886,31.29412,0.1791311,10.32801,9.663318,0,0.5,1,46,46,46,46,15470,0.676496565341949
"47",-91.25756,31.31495,2018,12.32761,21.40986,22.52155,1953.886,31.29412,0.1791311,10.32801,9.663318,0,0.7,1,47,47,47,47,15754,0.676496565341949
"48",-91.25724,31.28531,2018,12.35513,21.47871,22.5407,2002.59,31.31665,0.2227963,10.43103,9.698041,0,4.36,1,48,48,48,48,16710,0.800824880599976
"49",-91.2569,31.28693,2018,12.35513,21.47871,22.5407,2002.59,31.31665,0.2227963,10.43103,9.698041,0,0.5,1,49,49,49,49,15464,0.800824880599976
"50",-91.25636,31.31764,2018,12.35265,21.39172,22.56605,1928.074,31.35171,0.1736662,10.33728,9.775077,0,0.3,1,50,50,50,50,15077,0.676496565341949
"51",-91.25634,31.28459,2018,12.35513,21.47871,22.5407,2002.59,31.31665,0.2227963,10.43103,9.698041,1,7.12,1,51,51,51,51,16852,0.800824880599976
"52",-91.25621,31.28675,2018,12.35513,21.47871,22.5407,2002.59,31.31665,0.2227963,10.43103,9.698041,1,7.12,1,52,52,52,52,16855,0.800824880599976
"53",-91.25614,31.30291,2018,12.33688,21.43995,22.52421,1985.398,31.28447,0.206218,10.35873,9.644966,0,2.99,1,53,53,53,53,16590,0.800824880599976
"54",-91.25595,31.31411,2018,12.32761,21.40986,22.52155,1953.886,31.29412,0.1791311,10.32801,9.663318,0,1.7,1,54,54,54,54,16362,0.676496565341949
"55",-91.25469401,31.28109434,2016,14.6754427,18.90034485,22.92333031,1945.26048,33.75754929,2.457476139,5.284241199,11.48557758,0,0.7,1,55,55,55,55,1188,0.800824880599976
"56",-91.25459741,31.28107854,2016,14.6754427,18.90034485,22.92333031,1945.26048,33.75754929,2.457476139,5.284241199,11.48557758,0,3.33,1,56,56,56,56,1705,0.800824880599976
"57",-91.25415,31.3063,2018,12.32761,21.40986,22.52155,1953.886,31.29412,0.1791311,10.32801,9.663318,0,0.4,1,57,57,57,57,15274,0.800824880599976
"58",-91.25387,31.26181,2018,12.32293,21.49467,22.54433,2027.062,31.27823,0.2410213,10.44681,9.65799,1,28.47,1,58,58,58,58,17012,0.800824880599976
"59",-91.25371,31.28378,2018,12.35513,21.47871,22.5407,2002.59,31.31665,0.2227963,10.43103,9.698041,0,1,1,59,59,59,59,16002,0.800824880599976
"60",-91.2535,31.26143,2018,12.32293,21.49467,22.54433,2027.062,31.27823,0.2410213,10.44681,9.65799,1,6.89,1,60,60,60,60,16842,0.800824880599976
"61",-91.25331,31.2931,2018,12.33688,21.43995,22.52421,1985.398,31.28447,0.206218,10.35873,9.644966,1,7.12,1,61,61,61,61,16862,0.800824880599976
"62",-91.25254341,31.28743284,2016,14.6754427,18.90034485,22.92333031,1945.26048,33.75754929,2.457476139,5.284241199,11.48557758,0,0.1,1,62,62,62,62,394,0.800824880599976
"63",-91.25239,31.26209,2018,12.32293,21.49467,22.54433,2027.062,31.27823,0.2410213,10.44681,9.65799,0,1.5,1,63,63,63,63,16301,0.800824880599976
"64",-91.25141,31.28222,2018,12.35513,21.47871,22.5407,2002.59,31.31665,0.2227963,10.43103,9.698041,1,7.12,1,64,64,64,64,16850,0.800824880599976
"65",-91.25113,30.8766,2018,12.93988,22.14369,22.92355,2209.874,31.48774,1.227189,11.57259,10.48632,0,0.1,1,65,65,65,65,12239,0.629928529262543
"66",-91.25103,31.28869,2018,12.35513,21.47871,22.5407,2002.59,31.31665,0.2227963,10.43103,9.698041,1,7.12,1,66,66,66,66,16859,0.800824880599976
"67",-91.25099,31.28437,2018,12.35513,21.47871,22.5407,2002.59,31.31665,0.2227963,10.43103,9.698041,0,0.86,1,67,67,67,67,15890,0.800824880599976
"68",-91.25091,31.29084,2018,12.33688,21.43995,22.52421,1985.398,31.28447,0.206218,10.35873,9.644966,1,7.12,1,68,68,68,68,16861,0.800824880599976
"69",-91.25022,31.2843,2018,12.35513,21.47871,22.5407,2002.59,31.31665,0.2227963,10.43103,9.698041,0,0.2,1,69,69,69,69,13879,0.800824880599976
"70",-91.2496,31.26265,2018,12.32293,21.49467,22.54433,2027.062,31.27823,0.2410213,10.44681,9.65799,0,1.2,1,70,70,70,70,16201,0.800824880599976
"71",-91.24921,30.86949,2018,12.93988,22.14369,22.92355,2209.874,31.48774,1.227189,11.57259,10.48632,0,0.1,1,71,71,71,71,12237,0.629928529262543
"72",-91.24864,31.20003,2018,12.46097,21.5886,22.64735,2090.748,31.33995,0.4565753,10.6539,9.842536,0,2.85,1,72,72,72,72,16565,0.777598083019257
"73",-91.24851,31.28858,2018,12.35513,21.47871,22.5407,2002.59,31.31665,0.2227963,10.43103,9.698041,1,7.12,1,73,73,73,73,16857,0.800824880599976
"74",-91.24838,31.29073,2018,12.33688,21.43995,22.52421,1985.398,31.28447,0.206218,10.35873,9.644966,1,7.12,1,74,74,74,74,16860,0.800824880599976
"75",-91.24795,31.26287,2018,12.32293,21.49467,22.54433,2027.062,31.27823,0.2410213,10.44681,9.65799,1,5.99,1,75,75,75,75,16804,0.800824880599976
"76",-91.24738,31.28017,2018,12.35513,21.47871,22.5407,2002.59,31.31665,0.2227963,10.43103,9.698041,0,3.95,1,76,76,76,76,16678,0.800824880599976
"77",-91.24654,31.29784,2018,12.33688,21.43995,22.52421,1985.398,31.28447,0.206218,10.35873,9.644966,1,74.97,1,77,77,77,77,17044,0.800824880599976
"78",-91.24619,31.30591,2018,12.32761,21.40986,22.52155,1953.886,31.29412,0.1791311,10.32801,9.663318,0,0.1,1,78,78,78,78,12323,0.800824880599976
"79",-91.24601,31.28002,2018,12.35513,21.47871,22.5407,2002.59,31.31665,0.2227963,10.43103,9.698041,0,3.95,1,79,79,79,79,16677,0.800824880599976
"80",-91.24598,31.28847,2018,12.35513,21.47871,22.5407,2002.59,31.31665,0.2227963,10.43103,9.698041,1,7.12,1,80,80,80,80,16856,0.800824880599976
"81",-91.24593,31.30683,2018,12.32761,21.40986,22.52155,1953.886,31.29412,0.1791311,10.32801,9.663318,0,0.6,1,81,81,81,81,15642,0.800824880599976
"82",-91.24543,31.30481,2018,12.32761,21.40986,22.52155,1953.886,31.29412,0.1791311,10.32801,9.663318,0,2.59,1,82,82,82,82,16545,0.800824880599976
"83",-91.2454,31.26262,2018,12.32293,21.49467,22.54433,2027.062,31.27823,0.2410213,10.44681,9.65799,0,0.1,1,83,83,83,83,12267,0.800824880599976
"84",-91.24494,31.30084,2018,12.33688,21.43995,22.52421,1985.398,31.28447,0.206218,10.35873,9.644966,1,23.76,1,84,84,84,84,16984,0.800824880599976
"85",-91.24387,31.27856,2018,12.35922,21.48403,22.55466,1998.777,31.32258,0.2652426,10.45876,9.699153,0,0.3,1,85,85,85,85,15073,0.800824880599976
"86",-91.24185,31.26203,2018,12.34076,21.46085,22.5286,2033.972,31.2487,0.2704483,10.45372,9.651292,1,6.29,1,86,86,86,86,16830,0.800824880599976
"87",-91.24118,31.27349,2018,12.34076,21.46085,22.5286,2033.972,31.2487,0.2704483,10.45372,9.651292,0,0.3,1,87,87,87,87,15072,0.800824880599976
"88",-91.24029,31.28119,2018,12.35922,21.48403,22.55466,1998.777,31.32258,0.2652426,10.45876,9.699153,0,0.5,1,88,88,88,88,15462,0.800824880599976
