Longitude,Latitude,Year,JANMAXTEMP,FEBMAXTEMP,MARMAXTEMP,Prcp,AUGMAXTEMP,JANMINTEMP,FEBMINTEMP,MARMINTEMP,RISK,Acres,PRESENT,FOREST
-91.22728171,31.32575293,2016,14.5967741,18.7739315,22.87248421,1955.517082,33.77939224,2.385651827,5.199793339,11.38008976,0,0,0,0.676496565
-91.22542901,31.32636413,2016,14.5967741,18.7739315,22.87248421,1955.517082,33.77939224,2.385651827,5.199793339,11.38008976,0,0,0,0.676496565
-91.20178401,31.44993431,2016,14.35159016,18.56226921,22.69850159,1866.880757,33.73639679,1.899356842,4.850279331,10.98476601,0,0,0,0.848383069
-91.20118401,31.44951431,2016,14.35159016,18.56226921,22.69850159,1866.880757,33.73639679,1.899356842,4.850279331,10.98476601,0,0,0,0.848383069
-91.18400402,31.40617431,2016,14.46232224,18.67124367,22.78967857,1891.013443,33.73590851,2.06406641,5.03276825,11.08532524,0,0,0,0.841953039
-91.07154615,31.4398405,2016,14.46804237,18.6765213,22.87128258,1753.36488,33.79814529,2.068475485,4.960831642,11.11306667,0,0,0,0.819918931
-89.79700749,33.75285768,2018,8.790322581,17.10714286,19,1828,31.46774194,-3.483870968,5.553571429,5.870967742,0,0,0,0.484424531
-89.78610363,36.89073034,2016,6.403225806,10.17857143,17.12903226,1257,30.41935484,-3.516129032,-0.303571429,5.693548387,0,0,0,0.056915436
-89.66708694,33.10326577,2016,11.33870968,15.98214286,21.16129032,1251,33.48387097,-0.725806452,2.767857143,8.032258065,0,0,0,0.682599247
-89.65052692,32.16249432,2014,11.61290323,15.01785714,18.96774194,1627,32.38709677,-3.677419355,2.303571429,4.225806452,0,0,0,0.788256526
-89.64384438,32.50860403,2016,12.95065308,17.20434952,21.91935539,1585.193016,34.0044899,0.240039214,3.441048622,9.016129494,0,0,0,0.69862771
-89.6336244,32.20093409,2016,13.42570972,17.53728485,22.05947113,1562.138677,34.1062355,0.277519792,3.327586174,9.001089096,0,0,0,0.788256526
-89.62546439,32.45135404,2016,13.04436588,17.23573875,21.9698658,1603.801024,33.99905014,0.219423011,3.357769489,8.967106819,0,0,0,0.782306671
-89.62185439,32.39334405,2016,13.1477623,17.29889297,21.96786118,1615.429806,34.02516556,0.210577473,3.334210396,8.951612473,0,0,0,0.782306671
-89.61239441,32.22516408,2016,13.42013359,17.55929184,22.03656006,1574.928958,34.0807991,0.286771864,3.327586174,8.953944206,0,0,0,0.788256526
-89.60557441,32.22936408,2016,13.3511858,17.52019691,22.02092743,1580.246246,34.03502274,0.233368948,3.286564112,8.9174366,0,0,0,0.823051393
-89.58816442,32.1416341,2016,13.38498878,17.43120956,21.92711067,1580.639465,33.94645309,0.096937291,3.063450813,8.78750515,0,0,0,0.843172252
-89.58526441,32.24658408,2016,13.27085781,17.39131546,21.9054966,1617.293299,33.91690445,0.106635511,3.121896267,8.777126312,0,0,0,0.823051393
-89.57577441,32.24877408,2016,13.31125546,17.43629646,21.96356773,1615.353752,33.93478775,0.127673194,3.151924849,8.831411362,0,0,0,0.823051393
-89.57572441,32.24690408,2016,13.31125546,17.43629646,21.96356773,1615.353752,33.93478775,0.127673194,3.151924849,8.831411362,0,0,0,0.823051393
-89.55023441,32.38684405,2016,13.1289711,17.27406883,21.88715172,1612.067322,33.87095642,0.127306804,3.18792057,8.756393433,0,0,0,0.737836719
-89.54130442,32.37893405,2016,13.11197567,17.27514648,21.90255547,1624.563137,33.87546539,0.117401913,3.218625069,8.76163578,0,0,0,0.737836719
-89.53992442,32.37858405,2016,13.11197567,17.27514648,21.90255547,1624.563137,33.87546539,0.117401913,3.218625069,8.76163578,0,0,0,0.737836719
-89.53848443,32.11038411,2016,13.37780476,17.44534874,21.96248055,1581.538205,33.855793,0.068342105,2.985456228,8.689845085,0,0,0,0.829719245
-89.51002443,32.27599407,2016,13.29068279,17.37922096,21.97519875,1599.439162,33.85023117,0.088775985,3.084471703,8.746770859,0,0,0,0.782908738
-89.44920444,32.34207405,2016,13.17295456,17.27104568,21.86680222,1611.84371,33.73353195,0.003822711,3.021690845,8.645120621,0,0,0,0.710994959
-89.4416877,35.22588906,2014,6.677419355,8.803571429,14.33870968,1562,30.69354839,-6.435483871,-2.392857143,0.306451613,0,0,0,0.258403391
-89.38849446,32.32332406,2016,13.24193573,17.3402462,21.90649796,1598.062824,33.71076965,-0.00748179,3.006992579,8.607603073,0,0,0,0.685793996
-89.34150448,32.23991407,2016,13.36567783,17.5286026,22.07415581,1574.192974,33.78970337,0.091906093,3.062340021,8.759069443,0,0,0,0.84004283
